clave,identificador,value1,value2,extra_1,extra_2,extra_3,extra_4
element_1,1,1_data_val_1,,,,,
element_2,2,2_data_val_2,,,,,
element_3,3,3_data_val_3,,,,,
element_4,4,4_data_val_4,,,,,
element_5,5,5_data_val_5,,,,,
element_6,6,6_data_val_6,,,,,
element_7,7,7_data_val_7,,,,,
element_8,8,8_data_val_8,,,,,
element_9,9,9_data_val_9,,,,,
element_10,10,10_data_val_10,,,,,
element_11,11,11_data_val_11,,,,,
element_12,12,12_data_val_12,,,,,
element_13,13,13_data_val_13,,,,,
element_14,14,14_data_val_14,,,,,
element_15,15,15_data_val_15,,,,,
element_16,16,16_data_val_16,,,,,
element_17,17,17_data_val_17,,,,,
element_18,18,18_data_val_18,,,,,
element_19,19,19_data_val_19,,,,,
element_20,20,20_data_val_20,,,,,
